Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
3/5/2023,Salt Lake,Two Trees,Explosive,,New Snow/Old Snow Interface,2.5',125',,Southeast,"9,800'","40.594113169297, -111.655503674530",,,,,,,,,,"Two trees. S - SSE facing part of the gully. Unsure if natural, or shot.
",,,,30.0,1500.0,,9800.0
2/13/2014,Skyline,North Creek,Natural,,Facets,2',50',30',Northwest,"8,000'",,,,,,,,,,,,,,,24.0,600.0,360.0,8000.0
2/23/2023,Salt Lake,Pioneer Ridge,Snowboarder,,,"18""",70',,North,"10,000'","40.584007990686, -111.578969306070",,,,,,,,,,"Stomped on a large convex opening while anchored to a tree. A sizeable wind slab broke and ran a couple of hundred feet down to the apron. Easily large enough to seriously injure someone or possibly bury them.

 

Quite a few people were riding the area unaware of risks or without avalanche gear.
",,,,18.0,840.0,,10000.0
2/13/2010,Logan,Mt Jardine,Natural,,Facets,4.5',"2,500'",,South,"9,200'","41.829665000000, -111.705379000000",,,,,,,,,,"Eric wrote, ""I noticed this huge deep slab avalanche at the head of Water canyon (Green Canyon)   The part that I could se",,,There were more less significant slides all over the place but nothing like the one in Water Canyon. I would say the High danger rating is right in line with what we noticed. ,54.0,30000.0,,9200.0
2/18/2017,Salt Lake,White Pine,Skier,Unintentionally Triggered,New Snow/Old Snow Interface,"4""",10',100',Northeast,"9,400'","40.555742519405, -111.690187441440",1.0,1.0,,,,,,,,"Party of 3.Heading out of white pine in the afternoon. Skinning up rainbow ridge for one last run. Trying to gain the northwest ridge  for easier skinning. 6 feet from the ridge I paused. Wind loaded, check. New snow not bonding well to old snow, check. Steep slope,  check.  I took 2 more steps and triggered a small soft slab avalanche 10 feet above me, only about 8 feet wide but enough to carry me 50 feet down the slope.  Why did I continue in spite of the red flags? I cant say. Just plain stupid. 

",,,"Forecaster Comment: Thank you for reporting this. I would'nt say ""just plain stupid"" sounds like you were picking up on all the right signs. Next time you'll perhaps be able to pull back sooner and avoid the next one. Lessons like this are great because at the end of the day you're okay. Unfortunetly, too many people get lessons with snow that have far more tragic outcomes. Great observation. Trent Meisenheimer ",4.0,120.0,1200.0,9400.0
12/13/2009,Logan,Holiday Bowl,Unknown,,Facets,"16""",250',,North,"8,800'","41.878572000000, -111.651607000000",,,,,,,,,,"In the clearing weather, we could see this wide natural avalanche from late Sunday in Holiday Bowl, Upper Blind Hollow.   ","






Normal
0






MicrosoftInternetExplorer4





/* Style Definitions */
table.MsoNormalTable
{mso-style-name:""Table Normal"";
mso-tstyle-rowband-size:0;
mso-tstyle-colband-size:0;
mso-style-noshow:yes;
mso-style-parent:"""";
mso-padding-alt:0in 5.4pt 0in 5.4pt;
mso-para-margin:0in;
mso-para-margin-bottom:.0001pt;
mso-pagination:widow-orphan;
font-size:10.0pt;
font-family:""Times New Roman"";}


Here's a look at our results and our extended column test. The propagating failure occurred in very weak faceted snow just under the dusty layer.
",,"We visited Holiday Bowl, several days after it'd naturally avalanched during the powerful storm on Sunday12-13-09.
We climbed up this smaller pocket just south of the larger slide in the main bowl. It probably released at the same time the as the larger slide as it is only separated by a narrow rib",16.0,3000.0,,8800.0
2/3/2010,Ogden,Cutler Ridge,Unknown,,,,,,North,,"0.000000000000, 0.000000000000",,,,,,,,,,"Vague 3rd party details skier taking a ride in a slide, uninjured, possibly partly burried.",,,,,,,
10/10/2018,Salt Lake,Cardiac Ridge,Natural,,,,175',,East,"10,800'","40.605708980863, -111.667603576030",,,,,,,,,,"Mark was out of town so we had to go to Cardiac Ridge oursleves on Friday.  Snow on the terrain ridden was about knee deep plus, inverted but nicely supportive for snowboards. Noteworthy was that there was a significant slide that occurred mid storm last week covering much of the width of cardiac ridge. There was enough new snow over the debris that the debris still rode well.  The slide seemed like it went slow and wide with debris height being only 1-1.5 feet above the rest of the snowpack at the lower portions.  All of the terrain in he photo slid other than the apron we rode and beneath the few moraines with scrubby trees in the area that aren't pictured. The terrain that did not slide has about 12-15"" of dense nice powder over maybe 6"" of lighter density-probably faceted snow.  It rode very well and no rocks were hit on the main slope. Some of this lower layer found up high and lower down was comprised of fine grained facets.

Hopefully the denser snow in the slide paths won't facet as thoroughly as it could have in the coming high pressure. Lower terrain was lively with lots rocks. Road down to BCC was mostly walk out at day's end and surely is all walking now.",,,,,2100.0,,10800.0
1/1/2023,Salt Lake,Reynolds Pk,,,,5',,,Southeast,,"40.663873045986, -111.644159304550",,,,,,,,,,"Only observed this from the south side of Reynolds, pretty far away and thru falling snow, around noon on Sunday. Not sure if this was still the prior day's slide but suspect it was a new natural given how sharp the fracture looked. Pretty poor image quality but by eye the fracture line was pretty impressive. Didn't go to investigate.
",,,,60.0,,,
1/28/2021,Salt Lake,West Desolation Ridge,Natural,,,,,,North,"10,000'",,,,,,,,,,,"Noticed while hiking PC ridge line this morning during high winds. 
",,,,,,,10000.0
3/23/2019,SE Idaho,Danish Pass,Skier,Unintentionally Triggered,Surface Hoar,"12""",150',500',North,"8,800'","42.114910196831, -111.587244929990",,,,,,,,,,"The recent wet storm and barely-freezing temperatures at Tony Grove made us wary of steeper slopes today. Observed collapsing earlier in the day on a flat ridgeline E of the Bear River Divide. Did not observe any wet slides despite warmer temperatures and overcast greenhousing. Unintentionally ski triggered a slide on a N/NE facing 30-32 degree slope at ~8900'. The slide propagated below a rollover that broke 150' wide with a 1-2' deep crown and ran for 450' to the bottom of the run. The slab dropped down through two storm layers and failed on a thick layer of buried surface facets and a firm bed layer. Wet debris piled up 3-5' on the uphill side of well-spaced trees. Observed recent snowmobile tracks on similar adjacent slopes and N/NE facing obvious slide paths in the area. A good reminder that spring conditions do not equate to spring snowpack stability. 
",,,,12.0,1800.0,6000.0,8800.0
2/13/2021,Salt Lake,White Pine Chutes,Natural,,New Snow,,,,South,"8,800'","40.580291318244, -111.696495997030",,,,,,,,,,"D1
",,,,,,,8800.0
1/31/2019,Logan,"Star Valley, Wyoming",Snowmobiler,,,3',200',,South,"9,300'","42.650013309994, -110.755212294300",1.0,1.0,,,,,,,,"Attached clip tells the story.  This was in southwest Wyoming, but I think many could learn from it.  The group is all from Utah.
",,,,36.0,2400.0,,9300.0
2/21/2014,Uintas,Chalk Creek,Skier,Intentionally Triggered,Facets,3',500',600',Northeast,"10,400'","40.849502000000, -111.058731000000",,,,,,,,,,"







Well connected slab breaking around terrain features and running quite far... would definately ruin your day
",,,,36.0,6000.0,7200.0,10400.0
1/2/2019,Salt Lake,East Hellgate,Natural,,Graupel,,,,Southwest,"9,000'",,,,,,,,,,,"This avalanche was in upper LCC under the Hellgate cliffs where a wet loose slide cascaded off the cliff above and triggered a slab that likely failed on graupel snow.
",,,,,,,9000.0
12/24/2016,Logan,Logan,Skier,,,,,20',North,"7,600'","41.972850108973, -111.479387270550",,,,,,,,,,"Lovely day in the BC with rapidly changing conditions. About 8"" new, medium density snow from overnight to this morning. Lower on the slope, about 7,600, I kicked off a sluff on a 35 degree roll over. The snow slid easily off the rain crust from last week's storm. I suspect the rain crust is going to become the bed surface for slides in the coming weeks.",,,,,,240.0,7600.0
1/1/2023,Uintas,Daniels,Natural,,,"7""",10',,,,,,,,,,,,,,,,,,7.0,120.0,,
1/25/2018,Uintas,Upper Weber Canyon,Skier,Intentionally Triggered,New Snow,"15""",50',600',North,"10,200'","40.846156102506, -111.060785342440",,,,,,,,,,"Easily triggered wind slabs today on northerly facing slopes. Slabs were becoming quite stiff, but were still responsive to ski cuts.
",,,,15.0,600.0,7200.0,10200.0
4/11/2023,Logan,High Creek,Natural,,Wet grains,,500',"2,000'",North,"9,500'","41.924304963950, -111.688384996940",,,,,,,,,,"Toured out the S Fork of High Creek and saw multiple large wet avalanches that likely occurred during last week's rapid warm up. The most notable was a very large, full-path slide in the Z Gully on the N side of Cherry Peak. 

The debris pile was massive ( the pictures don't do it justice). 

We observed numerous wet loose avalanches on all aspects in the drainage as well as evidence of larger slides from earlier in the season. Deposition fields were very widespread with broken trees and debris scattered over the

entire basin. 

 

Note: The ski out took work. The high snow levels made it impossible to find the summer trail and the warm snow was extra sticky, Navigation was unfun. We were lucky that the creek wasn't running higher because we had to cross (skis off) multiple times over sketchy snow bridges. All of the side creeks are running as well. We basically walked out about 7-8 miles. If you are thinking about heading out this way, I'd say don't. The water levels are only going to rise and make the creek crossings VERY dangerous if not impossible. Hiking back up to Naomi/TG is the safest option. 
",,,,,6000.0,24000.0,9500.0
1/27/2017,Salt Lake,Mary Ellen,Skier,Intentionally Triggered,New Snow,"12""",80',200',East,"10,700'","40.545700151922, -111.651134478200",,,,,,,,,,"Sustained NNE winds aloft in Mary Ellen Gulch were channeling through the upper drainage and creating a variety of erratic wind currents.  N, S, and E winds were observed all within seconds of each other.  Crossloaded steep terrain features of Silver Creek Peak were prime concern and proved to be reactive to ski cuts.  Two consecutive pockets pulled out in steep chutes on the east face.  Both fanned out quickly but had marked wind slab characteristics of uneven crown depths up to 12"" deep x 80' wide x 200' vertical.  Although the sun was out all day, the temps remained cold in the wind zone and never felt too warm out of the gale.  Many different user groups out and about today and so it is no wonder that the obs list includes multiple human and natural triggered avalanches being observed.  I believe the continued winds tonight and into tomorrow will make these wind slabs much less manageable and a considerable danger exists around the compass above 9500'.  This problem coupled with the persistent slab issues of NSF/SH make for a complex snowpack.  Sheltered terrain is harder to find with the NNE winds and with sunny skies people will be crawling all over looking for fresh, skiable lines.  
Photos:
1. Two small wind slabs in center of frame in most prominent steep chutes running into bowl below.
2. Continuous wind transport was ongoing all day
3. N,S,E winds
",,,,12.0,960.0,2400.0,10700.0
2/5/2019,Salt Lake,Days Headwall,Snowboarder,,,4',60',,North,"10,500'","40.599290917947, -111.641356149930",,,,,,,,,,"Good visibility allowed for absolute certainty no one was below. Standing on old sun crust, I lightly tapped a small 3 ft overhanging cornice. This triggered  a wind slab avalanche in what looked like just this afternoons stellars- 10” deep and 20’ wide. A few seconds later the adjacent greyhound bus sized cornice failed spectacularly. There was not much time if any between the cornice and entire slope failure. Looked like 2-6’ deep, 60’ wide running to the flats. Adjacent north slopes were unperturbed yet many massive double overhead monsters loom over the entire ravine. This was an unsupported north facing slope that has repeatedly avalanched this season. Flagstaff was scoured, low density  snow had begun to accumulate and wind seemed like it was decreasing. 4pm
",,,,48.0,720.0,,10500.0
4/5/2023,Salt Lake,Upper Days,Natural,,,3',300',,Northeast,"10,200'","40.601213389676, -111.644193591790",,,,,,,,,,"Image taken from Ridgeline between Silver Fork and and Days Fork at around 8:30 AM. Looks like it was likely cornice triggered, towards the end or after the storm. All values are estimates. 
",,,,36.0,3600.0,,10200.0
1/27/2021,Ogden,Cutler Ridge,Skier,Intentionally Triggered,Density Change,"12""",70',50',Northeast,"7,700'","41.376766298886, -111.942929314640",,,,,,,,,,"Very strong winds today with even stronger gusts. Lots of fresh wind loading visible on ridgelines and at any slope break/roll over with N or NE aspect. I could hear the upper elevation wind from the trailhead.   Steep road cuts and creek banks were sensitive and cracking as low as 6000'. One road cut reloaded and slid again on our way down. 
 

Besides about a half dozen test slopes, I intentionally triggered this one larger slide. It released another small pocket sympathetically. Sorry no photos of slide, my phone died from the cold.  Photo below of typical cracking today. 
",,,,12.0,840.0,600.0,7700.0
12/31/2019,Provo,Mary Ellen Gulch,Natural,,New Snow/Old Snow Interface,"5""",50',700',Southeast,"10,800'","40.549613338677, -111.650791155420",,,,,,,,,,"Multiple Dry Loose Avalanches off the American Fork East Twin with aspects ranging from SW to SE. They appeared to natural during the evening on 20191230 or during the early morning hours on 20191231. Size estimated at D1.5, and very long running. 
",,,,5.0,600.0,8400.0,10800.0
3/11/2022,Skyline,Manti Canyon,Snowmobiler,Remotely Triggered,Facets,3',500',150',Northeast,"10,200'","39.220303935737, -111.512475000950",,,,,,,,,,"Remotely triggered from below.
",,,,36.0,6000.0,1800.0,10200.0
11/24/2018,Provo,Nebo East Bowls,Natural,,Facets,,100',,Northeast,"10,700'","39.806371169347, -111.760654436640",,,,,,,,,,"Viewed this natural avalanche (SS-R1-D2-N) from a LONG distance so details are speculation.  However, I know that there was preexisting snow on this slope prior to the storm.  No doubt, it tilts enough to the north to harbor faceted sugar snow.
I did not view very much natural avalanche activity from during the Thanksgiving storms.  This was just a hint of how the old weak sugar snow near the ground might react once we start loading more snow on top of it.  Time will tell.",,,,,1200.0,,10700.0
12/2/2022,Salt Lake,Wilson Peak,Unknown,,New Snow/Old Snow Interface,,,,East,"9,900'","40.674175484667, -111.670360552370",,,,,,,,,,"Observed a couple of wind drifted soft slab avalanches off the north-east side of Wilson Chutes. Most likely occurred sometime during the wind event on December 2, 2022. 
",,,,,,,9900.0
11/22/2013,Logan,Box Elder Peak,Unknown,,Facets,,,,Northeast,"9,500'","41.637400000000, -112.010422000000",,,,,,,,,,"I could see evidence from the valley of a recent hard slab avalanche off Box Elder Peak high in the Wellsville Range.  Looked to be around 150' wide and a couple feet deep.

 Much of the east facing terrain was stripped and horribly scoured by the recent strong up-slope east winds.   
",,,,,,,9500.0
3/20/2022,Logan,Crescent Lake Canyon,Snowmobiler,Unintentionally Triggered,Facets,2',100',350',North,"8,700'","41.978690618334, -111.637959467490",1.0,1.0,1.0,,,,"This was taken from Holli's Instagram post: 

There are many reasons to know who you’re riding with, what avalanche gear they have and what and how much avalanche training they have taken. You always hear people say, that will never happen to me. Unfortunately, you never know. It’s a risk we take every day in the backcountry.

 

We were extremely lucky today. We happened to be in the wrong place. A slide was triggered and one of our friends was caught and carried. He fought to stay on top of the snow headed downhill head first. His sled was stopped by a big pine tree and buried pretty deep. He got separated from his sled and continued down to the next tree. This is where Curtis found him within a minute or so. His hand was out of the snow. Curtis started digging to clear his airways. Justin was talking, while Curtis worked to get him the rest of the way out. His adrenaline kicked in and was going as soon as Curtis got him out.


Did we make mistakes today? Maybe. But we also did everything we have been trained to do. We checked the UAC forecast, we had our gear and used our training to make it home safe.

 ",,,"As we were riding one member of our group went across the hill and unintentionally triggered an avalanche. He was carried down slope and was able to keep himself mostly on top of the snow. He was partially buried and facing slightly down hill. I was able to get to him within about a minute of him coming to a stop. Was able to move the snow from around his face and head then dug him the rest of the way out. His sled stopped about 30' above him in a tree. 
","Here is an article by KSL about the close call: 

 

https://www.ksl.com/article/50373992/am-i-going-to-live-or-am-i-going-to-die-utah-man-caught-in-avalanche-rescued-by-friend",,"The rider triggered the avalanche from high on the slope near the crown and so was not deeply buried. He was caught, separated from his sled and carried head downhill about 150' by the avalanche. When it stopped he was mostly buried near a small tree, with his head and right arm waving out of the snow. His partner (Curtis) saw the waving arm and was able to get to him within about a minute of the avalanche. His sled was damaged in the accident and mostly buried up against a large tree about 30' uphill from where the rider ended up, with only one ski visible. He was quickly rescued by his companions, and uninjured was able to ride his broken sled out of the backcountry. ",24.0,1200.0,4200.0,8700.0
4/28/2001,Salt Lake,Stairs Gulch,Natural,,,5',700',"3,750'",Northeast,"10,000'","40.613918777396, -111.736453042870",2.0,2.0,1.0,1.0,,2.0,"During very warm, springtime conditions, a local doctor and his friend from Alaska (also a doctor) left at 4:00 am on April 28th to climb Stairs Gulch with crampons, ice axes and a rope, but no beacons. Stairs Gulch is a very steep and very large avalanche path (5,000 vertical feet) near the bottom of Big Cottonwood Canyon. Few people venture into Stairs Gulch during the winter but sometimes climbers like to test their snow skills there in spring. As the pair ascended in the early morning darkness a large glide avalanche released high above them and descended into the narrow gully they were ascending. When they failed to show up by their scheduled noon return time, searchers found the boot of one victim sticking out of the snow and a search dog located the second victim about four hundred yards above the first victim and he was buried about 8 feet deep.

This is the first known fatality from a glide avalanche in Utah and perhaps the only one in the U.S. Glide avalanches occur when wet snow slides slowly on the ground, similar to a glacier, often for several days, until they randomly release.",,,,,,,60.0,8400.0,45000.0,10000.0
4/7/2023,Uintas,Gardner Fork,Natural,,,,,,East,"10,500'","40.741965793287, -111.049144460110",,,,,,,,,,"By mid afternoon some clouds were shading the sun and winds had increased which were cooling the snow. These two things probably prevented more cornices from calving off. 

 

This weekend, I would expect to see more of them breaking as temps will continue to rise.
",,,,,,,10500.0
12/23/2010,Moab,Mt. Peale - N. Face,Natural,,Facets,4',"5,000'",,North,"12,400'","38.440010000000, -109.229422000000",,,,,,,,,,Massive. Mt. Peale avalanche is on upper ridge in the shade. Lower avalanche is Laurel Cirque.,,,,48.0,60000.0,,12400.0
1/9/2013,Logan,Mathews Hollow,Snowmobiler,Unintentionally Triggered,Wet grains,,,,South,"7,400'","41.691790000000, -111.733489000000",1.0,1.0,1.0,,,,,,,"
	 

	The incident began when an 18-year-old rider triggered a small avalanche (most likely a wet sluff) as he descended a steep slope and was taken for a ride.  He lost control of his sled as it flipped over a few times and ended up buried to the handlebars in a gully. The rider was partially buried nearby and was able to self extricate.  A second rider rode his sled down the slope and assisted the first.

	 

	According to information gathered from the father of the second rider, the avalanche was only a small part of the ordeal.   It turns out the pair had descended into a steep ravine that bottomed out in cliffs above the rock quarry at the head of the canyon.  They could not get down due to the cliffs below and they couldn't get back up the steep gully they had descended. 

	 

	Trapped by the terrain, the pair became exhausted recovering the sled and trying to get back up and out of the bottomless ravine. They called friends for help in the evening and eventually made it out of the canyon after a long night on the mountain...
 
",,,,,,,7400.0
1/17/2013,Salt Lake,Cardiac Ridge,,Remotely Triggered,,"6""",20',150',East,"10,200'","40.601181000000, -111.667163000000",,,,,,,,,,"While skinning up to Cardiac Ridge, a heli-skiing helicopter hovered at ridge level for a few moments (not dropping anyone off) and then proceed to fly down the valley. In the process the pilot buzzed the east facing rocky outcrop to lookers right of the normally skied area. This set off a wet slide sending roller balls past the two of us lower down on the skin track. Fortunately, the slide itself did not reach the skin track. 

Forecaster's Note: Noise does not trigger avalanches but it is possible for the rotor wash of the helicopter to trigger avalanches in rare cases.  Since many wet snow sluffs were coming down naturally all day long, it's also possible that this is a natural wet, point-release that came off the rocks at the same time. ",,,,6.0,240.0,1800.0,10200.0
3/4/2012,Salt Lake,Mountain Dell Canyon,Natural,,,"18""","1,000'",500',Southeast,"8,600'","40.837775000000, -111.714735000000",,,,,,,,,,"Some avy activity around the summit of Lookout Peak.  Wide (>1000 ft) avalanche on the northeast ridge of Lookout (first photo) looks to have been triggered naturally by a cornice fall.  No tracks around it.  Depth is a guess since we did not get close.  A second, smaller avalanche just east of Grandview Peak (2nd photo; south-facing) was covered with snowmobile tracks.  Not a stretch to say that one was human-triggered.  Did not see either of these avalanches happen, so unsure of the timing.  Both happened before mid-morning Sunday.",,,,18.0,12000.0,6000.0,8600.0
12/25/2019,Salt Lake,Dutch Draw,Snowboarder,Unintentionally Triggered,,"12""",200',600',East,"9,900'","40.652673385431, -111.593125315220",,,,,,,,,,"Avalanche caught in the video below. Photo taken on 12/26 from the top.
",,,,12.0,2400.0,7200.0,9900.0
4/6/2023,Salt Lake,Valerie's,Natural,,,4',250',400',Southeast,"8,600'","40.585888084066, -111.658086763920",,,,,,,,,,,,,,48.0,3000.0,4800.0,8600.0
1/11/2023,Salt Lake,Hogum,,,,,,,Northeast,,"40.547249148989, -111.726751314700",,,,,,,,,,"Spotted this avalanche under the Hypo/coalpit cliffs as we were driving down canyon just after noon. The sun hit the crown line just right to illuminate it for a few minutes. You can't see it in the picture so don't look to hard, however the red circle is the location we saw it. To spot something from such a distance it must have been over 10ft tall (PWL type of slide) and over 100ft wide. 
",,,,,,,
1/22/2010,Salt Lake,Salt Lake,Skier,Unintentionally Triggered,Facets,2.5',600',900',Northeast,"9,300'","40.606655000000, -111.574917000000",1.0,1.0,,1.0,1.0,,,,,,,,,30.0,7200.0,10800.0,9300.0
1/25/2012,Uintas,Uintas,Snowmobiler,Unintentionally Triggered,Depth Hoar,3',500',200',East,"10,200'","40.947167000000, -110.668201000000",,,,,,,,,,This slide was already reported to Craig Gordon with a nice video by the party involved.  The area is east facing with many acres of flat terrain where the winds can grab lots of snow on deposit it onto this east facing slope.  The snow pack in this area is typically thinner and weaker the further east you go from the Mirror Lake Highway.,I observed this other slide just to the south of the bigger avalanche on a similar aspect.,"The general snow pack set-up in the Elizabeth Pass area, 10,000' in elevation.","This hard slab avalanche was possibly triggered lower on the slope where the slab was thinner. Once the weak snow collapsed, it pulled-out into the deeper part of the slab just off the ridgeline.",36.0,6000.0,2400.0,10200.0
11/23/2014,Salt Lake,Twin Lakes area,Skier,Remotely Triggered,Facets,2.5',,,Northeast,"10,000'","40.590817239016, -111.603771543560",,,,,,,,,,"
",,,,30.0,,,10000.0
4/17/2021,Provo,Timpanogos,Skier,,,"12""",30',,Northwest,"10,700'","40.419434491241, -111.675306545800",,2.0,,,,,,,,"Two parties of three and a party of two were traveling up Cold Fusion this morning when the party of two, bootpacking the upper section of the run, triggered a small wind slab which caught and carried both skiers approximately 400-500' down the slope. The avalanche ran approximately 1000', with the toe stopping just above the lower cliff band of the run at 9800'. One of the other parties was transitioning to bootpack at the time and some of their gear was entrained in the slide and carried a short distance down the slope.

 

Both skiers were able to self arrest and neither were seriously injured. The lost gear was also recovered partially buried lower in the debris.

 

All three parties had noted earlier in the morning the higher than anticipated wind at the summit and had discussed possible changes to their plans depending on the loading and layering that was observed once in the line. All three parties traveled to the top of the protected skintrack in the trees to climbers right before discussing options for crossing into the main run to continue their ascent. All eight skiers crossed the main run one-at-a-time to a relative island of safety on climbers left where the intention was to further examine the wind loading. One party of three and the party of two ascended from this point approximately 50-100' and began transitioning to bootpack. The other party of three made the decision to descend from this point based on concerns about the snowpack. The first skier from this party was descending the skiers left side of the run when the avalanche was triggered above and was able to safely ski to the trees on the left before re-ascending to check on the two caught skiers.

 

Once it was determined that all skiers were safe and accounted for all three parties descended the remainder of the line separately.

 

A snowpit dug prior to the third parties decision to descend showed both new snow and wind transport resting on top of a thin crust sandwiched by small grain facets. Stability test on this layer resulted in ECTN21 with a very clean plane of shear.

 

Photo 1: Both skiers at the locations where they were able to self arrest.

Photo 2: The crown is visible to the right of center at the top of the photo.

Photo 3: Looking back up from the toe of the debris.

 

 

Since there were eight skiers present there's probably a lot of other input, photos, etc. that could be added here.

 
",,,,12.0,360.0,,10700.0
1/19/2012,Salt Lake,West Willow,Natural,,,,,,Northeast,,"40.644900000000, -111.596612000000",,,,,,,,,,Handful of shallow natural soft slabs viewed from a distance.,,,,,,,
2/16/2021,Salt Lake,Monte Cristo,Explosive,Intentionally Triggered,Facets,,,,South,,"40.588797809846, -111.672334658200",,,,,,,,,,"D3.5
",,,,,,,
3/3/2023,Ogden,Ben Lomond Headwall,Natural,,New Snow,,600',"2,000'",Northeast,"9,400'","41.364936765093, -111.961625248050",,,,,,,,,,"Another avalanche we spotted on the headwall. I submitted these separately as I think they we not connected. Terrain features broke up the three large avalanches that we saw on the face. 
",,,,,7200.0,24000.0,9400.0
2/28/2012,Salt Lake,Main Porter,Unknown,,,"10""",150',200',Northwest,"9,200'","0.000000000000, 0.000000000000",,,,,,,,,,"Slide was either remotely triggered or was natural. We think it slid while we were skiing a couple hundred feet to the side, but we were unaware of it until we looked back uphill to admire our tracks.  Size is approximate, we did not travel over to inspect the slide.  It had just stopped snowing when we started down. It had been snowing with a little wind for several hours.  No one was caught or injured..",,,,10.0,1800.0,2400.0,9200.0
12/31/2015,SE Idaho,"Middle Fork, St. Charles Canyon",Snowmobiler,Unintentionally Triggered,Facets,2',450',500',East,"9,200'","42.089645133131, -111.575989746360",2.0,1.0,1.0,,1.0,,"When a party of four riders entered the bowl from the top it was completely untracked and nice smooth powder. The east facing slope south of Saint Charles Peak is committing because there is no good way to ride out the bottom, so you have to come back up the hill in order to exit the drainage. The party played around on adjacent slopes and two had successfully climbed back out of the 36 degree slope a few times. 

The slope had several tracks in it at the time of the avalanche. One rider climbed to the saddle on the top and watched, and a second was at the bottom also watching as the third attempted the climb. On the second attempt, the 47-year-old rider's sled did not have quite enough power to make the climb, and he turned near the top of the slope. The snow on the slope fractured even as the rider guided his sled in a rightward arc back down the hill. 

The avalanche caught rider and sled near the south flank and a large rock held up the sled for a bit while the rider was carried (he mentioned using swimming motions) to near the toe at the bottom of the avalanche, ending up about 150' below his sled, face-down and partially buried in the debris. The fourth rider was below on the slope and heading up when the slope fractured. He decided to keep his sled pointed up the hill and rode on top of the slab, the throttle pegged, track spinning like a treadmill as the slab ran underneath, leaving him safely on the bed surface. 

The other riders were able to get down to the lucky survivor and had him out of a face-down partial burial quite quickly. He was quickly spotted by his companions, and they had him out of the debris in ""really only a couple minutes."" Thankfully, now He is mainly only shaken, and recovering from minor injuries. The sled was damaged in the avalanche, but the party repaired it in the field the next day and rode it out of the hole. 

 ","This slope has a particularly notable history of avalanche accidents. It is the site of an epic January 11, 2014 rescue, where a rider was fully buried, suffered a double femur fracture, and had to be hauled up 1600' by rope. The rescue ended up going on well into the night, and involved about 50 rescuers from Cache, Franklin, and Bear Lake Counties. Read Report

The same slope was the site of a tragic fatality on February 19, 2000. Read Report 

The avalanche occurred on a mostly east facing slope and started at around 9200' in elevation. The toe of the avalanche was at around 8700'. The slope measures only about 36 degrees in steepness in the steepest area, and I measured the Alpha angle of this avalanche at 25 degrees.",,,"It looks like a sledder got caught and carried in this large avalanche, but I don't know the scary story, The sustained 36 degree slope in the starting zone is not extremely steep, but the avalanche was pretty large. Tracks and evidence of excavation in the huge debris pile tell the story of a close call and I'd love to hear what actually happened. ",,,24.0,5400.0,6000.0,9200.0
2/5/2023,Salt Lake,Triangle Couloir,Natural,,,,,,North,"7,200'","40.566935359967, -111.734550843230",,,,,,,,,,"Multiple large slides came down the couloir from the western fork
",,,,,,,7200.0
2/25/2018,Salt Lake,Little Cottonwood Canyon,,Unintentionally Triggered,New Snow,"14""",50',150',East,"9,600'","40.594944417245, -111.646369167160",,,,,,,,,,"I was across the way and watched this prone pocket triggered from a distance by a solo skier.
",,,,14.0,600.0,1800.0,9600.0
2/16/2021,Ogden,Hells Canyon,Natural,,,,,"1,000'",Northeast,"8,600'",,,,,,,,,,,"Noted this crown in Hell's Canyon today. Unsure when it released, but no tracks into it, so presumably natural trigger. While it doesn't really show in the photo, it was quite a crisp looking crown from a distance, so I imagine it failed late in the storm cycle--otherwise it would have been more filled in. Best guess is 16 or 17 February. 

 

Ran almost the full track with debris at least 1000ft below. Crown appeared a couple feet tall and a couple hundred across, certainly D2. Clearly in the start zone; lidar slope shading has it pegged between 35 and 45 degree slope angle. Did not scour to ground, so storm interface seems likely. 
",,,,,,12000.0,8600.0
1/30/2013,Skyline,Pleasant Creek,Natural,Cornice Triggered,Density Change,2',175',800',East,"10,200'","39.510994000000, -111.320171000000",,,,,,,,,,"This avalanche occurred at the tail end of the storm as there was not much new snow on the bed surface or debris.  It did break into older facets from January but the main contributing weak layer was a density change within the newer snow.
",,,,24.0,2100.0,9600.0,10200.0
4/8/2018,Logan,Wellsville Mountain Wilderness,Natural,Repeater,New Snow/Old Snow Interface,,,,Northeast,"9,400'",,,,,,,,,,,"I could see some recent natural avalanche activity in the Wellsville Mountain Wilderness from Cache Valley near the towns of  Mendon and Wellsville.
",,,The road up Maple Bench was too muddy for me to drive on.,,,,9400.0
